orderIndex,title,slug,difficulty,category,leetcodeUrl
24,Min Stack,min-stack,MEDIUM,STACK,https://leetcode.com/problems/min-stack/
25,Evaluate Reverse Polish Notation,evaluate-reverse-polish-notation,MEDIUM,STACK,https://leetcode.com/problems/evaluate-reverse-polish-notation/
26,Daily Temperatures,daily-temperatures,MEDIUM,STACK,https://leetcode.com/problems/daily-temperatures/
27,Largest Rectangle in Histogram,largest-rectangle-in-histogram,HARD,STACK,https://leetcode.com/problems/largest-rectangle-in-histogram/
28,Binary Search,binary-search,EASY,BINARY_SEARCH,https://leetcode.com/problems/binary-search/
29,Search a 2D Matrix,search-a-2d-matrix,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/search-a-2d-matrix/
30,Koko Eating Bananas,koko-eating-bananas,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/koko-eating-bananas/
31,Find Minimum in Rotated Sorted Array,find-minimum-in-rotated-sorted-array,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/find-minimum-in-rotated-sorted-array/
32,Search in Rotated Sorted Array,search-in-rotated-sorted-array,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/search-in-rotated-sorted-array/
33,Reverse Linked List,reverse-linked-list,EASY,LINKED_LIST,https://leetcode.com/problems/reverse-linked-list/
34,Merge Two Sorted Lists,merge-two-sorted-lists,EASY,LINKED_LIST,https://leetcode.com/problems/merge-two-sorted-lists/
35,Linked List Cycle,linked-list-cycle,EASY,LINKED_LIST,https://leetcode.com/problems/linked-list-cycle/
36,Linked List Cycle II,linked-list-cycle-ii,MEDIUM,LINKED_LIST,https://leetcode.com/problems/linked-list-cycle-ii/
37,Remove Nth Node From End of List,remove-nth-node-from-end-of-list,MEDIUM,LINKED_LIST,https://leetcode.com/problems/remove-nth-node-from-end-of-list/
38,Reorder List,reorder-list,MEDIUM,LINKED_LIST,https://leetcode.com/problems/reorder-list/
39,Add Two Numbers,add-two-numbers,MEDIUM,LINKED_LIST,https://leetcode.com/problems/add-two-numbers/
40,Maximum Depth of Binary Tree,maximum-depth-of-binary-tree,EASY,TREE,https://leetcode.com/problems/maximum-depth-of-binary-tree/
41,Invert Binary Tree,invert-binary-tree,EASY,TREE,https://leetcode.com/problems/invert-binary-tree/
42,Same Tree,same-tree,EASY,TREE,https://leetcode.com/problems/same-tree/
43,Binary Tree Level Order Traversal,binary-tree-level-order-traversal,MEDIUM,TREE,https://leetcode.com/problems/binary-tree-level-order-traversal/
44,Validate Binary Search Tree,validate-binary-search-tree,MEDIUM,TREE,https://leetcode.com/problems/validate-binary-search-tree/
45,Kth Smallest Element in a BST,kth-smallest-element-in-a-bst,MEDIUM,TREE,https://leetcode.com/problems/kth-smallest-element-in-a-bst/
46,Lowest Common Ancestor of a Binary Search Tree,lowest-common-ancestor-of-a-binary-search-tree,MEDIUM,TREE,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-search-tree/
47,Subsets,subsets,MEDIUM,BACKTRACKING,https://leetcode.com/problems/subsets/
48,Combination Sum,combination-sum,MEDIUM,BACKTRACKING,https://leetcode.com/problems/combination-sum/
49,Permutations,permutations,MEDIUM,BACKTRACKING,https://leetcode.com/problems/permutations/
50,Word Search,word-search,MEDIUM,BACKTRACKING,https://leetcode.com/problems/word-search/
51,Path Sum,path-sum,EASY,TREE,https://leetcode.com/problems/path-sum/
52,Diameter of Binary Tree,diameter-of-binary-tree,EASY,TREE,https://leetcode.com/problems/diameter-of-binary-tree/
53,Balanced Binary Tree,balanced-binary-tree,EASY,TREE,https://leetcode.com/problems/balanced-binary-tree/
54,Binary Tree Right Side View,binary-tree-right-side-view,MEDIUM,TREE,https://leetcode.com/problems/binary-tree-right-side-view/
55,Count Good Nodes in Binary Tree,count-good-nodes-in-binary-tree,MEDIUM,TREE,https://leetcode.com/problems/count-good-nodes-in-binary-tree/
56,Construct Binary Tree from Preorder and Inorder Traversal,construct-binary-tree-from-preorder-and-inorder-traversal,MEDIUM,TREE,https://leetcode.com/problems/construct-binary-tree-from-preorder-and-inorder-traversal/
57,Serialize and Deserialize Binary Tree,serialize-and-deserialize-binary-tree,HARD,TREE,https://leetcode.com/problems/serialize-and-deserialize-binary-tree/
58,Subtree of Another Tree,subtree-of-another-tree,EASY,TREE,https://leetcode.com/problems/subtree-of-another-tree/
59,Lowest Common Ancestor of a Binary Tree,lowest-common-ancestor-of-a-binary-tree,MEDIUM,TREE,https://leetcode.com/problems/lowest-common-ancestor-of-a-binary-tree/
60,Binary Tree Maximum Path Sum,binary-tree-maximum-path-sum,HARD,TREE,https://leetcode.com/problems/binary-tree-maximum-path-sum/
61,Kth Largest Element in a Stream,kth-largest-element-in-a-stream,EASY,HEAP,https://leetcode.com/problems/kth-largest-element-in-a-stream/
62,Last Stone Weight,last-stone-weight,EASY,HEAP,https://leetcode.com/problems/last-stone-weight/
63,Kth Largest Element in an Array,kth-largest-element-in-an-array,MEDIUM,HEAP,https://leetcode.com/problems/kth-largest-element-in-an-array/
64,Top K Frequent Elements,top-k-frequent-elements,MEDIUM,HEAP,https://leetcode.com/problems/top-k-frequent-elements/
65,Find Median from Data Stream,find-median-from-data-stream,HARD,HEAP,https://leetcode.com/problems/find-median-from-data-stream/
66,K Closest Points to Origin,k-closest-points-to-origin,MEDIUM,HEAP,https://leetcode.com/problems/k-closest-points-to-origin/
67,Task Scheduler,task-scheduler,MEDIUM,HEAP,https://leetcode.com/problems/task-scheduler/
68,Merge K Sorted Lists,merge-k-sorted-lists,HARD,HEAP,https://leetcode.com/problems/merge-k-sorted-lists/
69,Climbing Stairs,climbing-stairs,EASY,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/climbing-stairs/
70,House Robber,house-robber,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/house-robber/
71,House Robber II,house-robber-ii,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/house-robber-ii/
72,Longest Palindromic Substring,longest-palindromic-substring,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/longest-palindromic-substring/
73,Palindromic Substrings,palindromic-substrings,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/palindromic-substrings/
74,Coin Change,coin-change,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/coin-change/
75,Maximum Product Subarray,maximum-product-subarray,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/maximum-product-subarray/
76,Word Break,word-break,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/word-break/
77,Longest Increasing Subsequence,longest-increasing-subsequence,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/longest-increasing-subsequence/
78,Partition Equal Subset Sum,partition-equal-subset-sum,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/partition-equal-subset-sum/
79,Decode Ways,decode-ways,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/decode-ways/
80,Unique Paths,unique-paths,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/unique-paths/
81,Number of Islands,number-of-islands,MEDIUM,GRAPH,https://leetcode.com/problems/number-of-islands/
82,Clone Graph,clone-graph,MEDIUM,GRAPH,https://leetcode.com/problems/clone-graph/
83,Max Area of Island,max-area-of-island,MEDIUM,GRAPH,https://leetcode.com/problems/max-area-of-island/
84,Pacific Atlantic Water Flow,pacific-atlantic-water-flow,MEDIUM,GRAPH,https://leetcode.com/problems/pacific-atlantic-water-flow/
85,Surrounded Regions,surrounded-regions,MEDIUM,GRAPH,https://leetcode.com/problems/surrounded-regions/
86,Rotting Oranges,rotting-oranges,MEDIUM,GRAPH,https://leetcode.com/problems/rotting-oranges/
87,Course Schedule,course-schedule,MEDIUM,GRAPH,https://leetcode.com/problems/course-schedule/
88,Course Schedule II,course-schedule-ii,MEDIUM,GRAPH,https://leetcode.com/problems/course-schedule-ii/
89,Graph Valid Tree,graph-valid-tree,MEDIUM,GRAPH,https://leetcode.com/problems/graph-valid-tree/
90,Number of Connected Components in an Undirected Graph,number-of-connected-components-in-an-undirected-graph,MEDIUM,GRAPH,https://leetcode.com/problems/number-of-connected-components-in-an-undirected-graph/
91,Word Ladder,word-ladder,HARD,GRAPH,https://leetcode.com/problems/word-ladder/
92,Redundant Connection,redundant-connection,MEDIUM,GRAPH,https://leetcode.com/problems/redundant-connection/
93,Combinations,combinations,MEDIUM,BACKTRACKING,https://leetcode.com/problems/combinations/
94,Letter Combinations of a Phone Number,letter-combinations-of-a-phone-number,MEDIUM,BACKTRACKING,https://leetcode.com/problems/letter-combinations-of-a-phone-number/
95,Palindrome Partitioning,palindrome-partitioning,MEDIUM,BACKTRACKING,https://leetcode.com/problems/palindrome-partitioning/
96,N-Queens,n-queens,HARD,BACKTRACKING,https://leetcode.com/problems/n-queens/
97,Generate Parentheses,generate-parentheses,MEDIUM,BACKTRACKING,https://leetcode.com/problems/generate-parentheses/
98,Subsets II,subsets-ii,MEDIUM,BACKTRACKING,https://leetcode.com/problems/subsets-ii/
99,Combination Sum II,combination-sum-ii,MEDIUM,BACKTRACKING,https://leetcode.com/problems/combination-sum-ii/
100,Letter Case Permutation,letter-case-permutation,EASY,BACKTRACKING,https://leetcode.com/problems/letter-case-permutation/
101,Rotate Array,rotate-array,MEDIUM,ARRAY,https://leetcode.com/problems/rotate-array/
102,Merge Sorted Array,merge-sorted-array,EASY,ARRAY,https://leetcode.com/problems/merge-sorted-array/
103,Sort Colors,sort-colors,MEDIUM,ARRAY,https://leetcode.com/problems/sort-colors/
104,Subarray Sum Equals K,subarray-sum-equals-k,MEDIUM,ARRAY,https://leetcode.com/problems/subarray-sum-equals-k/
105,Find the Duplicate Number,find-the-duplicate-number,MEDIUM,ARRAY,https://leetcode.com/problems/find-the-duplicate-number/
106,Maximum Sum Circular Subarray,maximum-sum-circular-subarray,MEDIUM,ARRAY,https://leetcode.com/problems/maximum-sum-circular-subarray/
107,Find Pivot Index,find-pivot-index,EASY,ARRAY,https://leetcode.com/problems/find-pivot-index/
108,Majority Element II,majority-element-ii,MEDIUM,ARRAY,https://leetcode.com/problems/majority-element-ii/
109,Find First and Last Position of Element in Sorted Array,find-first-and-last-position-of-element-in-sorted-array,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/find-first-and-last-position-of-element-in-sorted-array/
110,Search a 2D Matrix II,search-a-2d-matrix-ii,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/search-a-2d-matrix-ii/
111,Find Peak Element,find-peak-element,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/find-peak-element/
112,Single Element in a Sorted Array,single-element-in-a-sorted-array,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/single-element-in-a-sorted-array/
113,Time Based Key-Value Store,time-based-key-value-store,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/time-based-key-value-store/
114,Capacity To Ship Packages Within D Days,capacity-to-ship-packages-within-d-days,MEDIUM,BINARY_SEARCH,https://leetcode.com/problems/capacity-to-ship-packages-within-d-days/
115,Reverse Nodes in k-Group,reverse-nodes-in-k-group,HARD,LINKED_LIST,https://leetcode.com/problems/reverse-nodes-in-k-group/
116,Copy List with Random Pointer,copy-list-with-random-pointer,MEDIUM,LINKED_LIST,https://leetcode.com/problems/copy-list-with-random-pointer/
117,Find the Town Judge,find-the-town-judge,EASY,GRAPH,https://leetcode.com/problems/find-the-town-judge/
118,LRU Cache,lru-cache,MEDIUM,LINKED_LIST,https://leetcode.com/problems/lru-cache/
119,Intersection of Two Linked Lists,intersection-of-two-linked-lists,EASY,LINKED_LIST,https://leetcode.com/problems/intersection-of-two-linked-lists/
120,Palindrome Linked List,palindrome-linked-list,EASY,LINKED_LIST,https://leetcode.com/problems/palindrome-linked-list/
121,Flatten Binary Tree to Linked List,flatten-binary-tree-to-linked-list,MEDIUM,TREE,https://leetcode.com/problems/flatten-binary-tree-to-linked-list/
122,Populating Next Right Pointers in Each Node,populating-next-right-pointers-in-each-node,MEDIUM,TREE,https://leetcode.com/problems/populating-next-right-pointers-in-each-node/
123,House Robber III,house-robber-iii,MEDIUM,TREE,https://leetcode.com/problems/house-robber-iii/
124,Delete Node in a BST,delete-node-in-a-bst,MEDIUM,TREE,https://leetcode.com/problems/delete-node-in-a-bst/
125,Convert Sorted Array to Binary Search Tree,convert-sorted-array-to-binary-search-tree,EASY,TREE,https://leetcode.com/problems/convert-sorted-array-to-binary-search-tree/
126,Path Sum II,path-sum-ii,MEDIUM,TREE,https://leetcode.com/problems/path-sum-ii/
127,Implement Trie (Prefix Tree),implement-trie-prefix-tree,MEDIUM,TRIE,https://leetcode.com/problems/implement-trie-prefix-tree/
128,Design Add and Search Words Data Structure,design-add-and-search-words-data-structure,MEDIUM,TRIE,https://leetcode.com/problems/design-add-and-search-words-data-structure/
129,Word Search II,word-search-ii,HARD,TRIE,https://leetcode.com/problems/word-search-ii/
130,Implement Trie II (Prefix Tree),implement-trie-ii-prefix-tree,MEDIUM,TRIE,https://leetcode.com/problems/implement-trie-ii-prefix-tree/
131,Network Delay Time,network-delay-time,MEDIUM,GRAPH,https://leetcode.com/problems/network-delay-time/
132,Min Cost to Connect All Points,min-cost-to-connect-all-points,MEDIUM,GRAPH,https://leetcode.com/problems/min-cost-to-connect-all-points/
133,Cheapest Flights Within K Stops,cheapest-flights-within-k-stops,MEDIUM,GRAPH,https://leetcode.com/problems/cheapest-flights-within-k-stops/
134,Swim in Rising Water,swim-in-rising-water,HARD,GRAPH,https://leetcode.com/problems/swim-in-rising-water/
135,Open the Lock,open-the-lock,MEDIUM,GRAPH,https://leetcode.com/problems/open-the-lock/
136,Accounts Merge,accounts-merge,MEDIUM,GRAPH,https://leetcode.com/problems/accounts-merge/
137,Is Graph Bipartite?,is-graph-bipartite,MEDIUM,GRAPH,https://leetcode.com/problems/is-graph-bipartite/
138,Shortest Path in Binary Matrix,shortest-path-in-binary-matrix,MEDIUM,GRAPH,https://leetcode.com/problems/shortest-path-in-binary-matrix/
139,Find Eventual Safe States,find-eventual-safe-states,MEDIUM,GRAPH,https://leetcode.com/problems/find-eventual-safe-states/
140,Reconstruct Itinerary,reconstruct-itinerary,HARD,GRAPH,https://leetcode.com/problems/reconstruct-itinerary/
141,Jump Game,jump-game,MEDIUM,GREEDY,https://leetcode.com/problems/jump-game/
142,Jump Game II,jump-game-ii,MEDIUM,GREEDY,https://leetcode.com/problems/jump-game-ii/
143,Gas Station,gas-station,MEDIUM,GREEDY,https://leetcode.com/problems/gas-station/
144,Partition Labels,partition-labels,MEDIUM,GREEDY,https://leetcode.com/problems/partition-labels/
145,Hand of Straights,hand-of-straights,MEDIUM,GREEDY,https://leetcode.com/problems/hand-of-straights/
146,Merge Intervals,merge-intervals,MEDIUM,INTERVALS,https://leetcode.com/problems/merge-intervals/
147,Insert Interval,insert-interval,MEDIUM,INTERVALS,https://leetcode.com/problems/insert-interval/
148,Non-overlapping Intervals,non-overlapping-intervals,MEDIUM,INTERVALS,https://leetcode.com/problems/non-overlapping-intervals/
149,Meeting Rooms II,meeting-rooms-ii,MEDIUM,INTERVALS,https://leetcode.com/problems/meeting-rooms-ii/
150,Longest Common Subsequence,longest-common-subsequence,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/longest-common-subsequence/
151,Edit Distance,edit-distance,HARD,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/edit-distance/
152,Distinct Subsequences,distinct-subsequences,HARD,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/distinct-subsequences/
153,Target Sum,target-sum,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/target-sum/
154,Combination Sum IV,combination-sum-iv,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/combination-sum-iv/
155,Minimum Deletions to Make Character Frequencies Unique,minimum-deletions-to-make-character-frequencies-unique,MEDIUM,STRING,https://leetcode.com/problems/minimum-deletions-to-make-character-frequencies-unique/
156,Interleaving String,interleaving-string,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/interleaving-string/
157,Triangle,triangle,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/triangle/
158,Minimum Path Sum,minimum-path-sum,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/minimum-path-sum/
159,Maximal Square,maximal-square,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/maximal-square/
160,Perfect Squares,perfect-squares,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/perfect-squares/
161,Longest Palindromic Subsequence,longest-palindromic-subsequence,MEDIUM,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/longest-palindromic-subsequence/
162,Burst Balloons,burst-balloons,HARD,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/burst-balloons/
163,Regular Expression Matching,regular-expression-matching,HARD,DYNAMIC_PROGRAMMING,https://leetcode.com/problems/regular-expression-matching/
164,Longest Valid Parentheses,longest-valid-parentheses,HARD,STACK,https://leetcode.com/problems/longest-valid-parentheses/
165,Asteroid Collision,asteroid-collision,MEDIUM,STACK,https://leetcode.com/problems/asteroid-collision/
166,Car Fleet,car-fleet,MEDIUM,STACK,https://leetcode.com/problems/car-fleet/
167,Remove K Digits,remove-k-digits,MEDIUM,STACK,https://leetcode.com/problems/remove-k-digits/
168,Next Greater Element I,next-greater-element-i,EASY,STACK,https://leetcode.com/problems/next-greater-element-i/
169,Next Greater Element II,next-greater-element-ii,MEDIUM,STACK,https://leetcode.com/problems/next-greater-element-ii/
170,Online Stock Span,online-stock-span,MEDIUM,STACK,https://leetcode.com/problems/online-stock-span/
171,Sum of Subarray Minimums,sum-of-subarray-minimums,MEDIUM,STACK,https://leetcode.com/problems/sum-of-subarray-minimums/
172,Interval List Intersections,interval-list-intersections,MEDIUM,INTERVALS,https://leetcode.com/problems/interval-list-intersections/
173,Minimum Number of Arrows to Burst Balloons,minimum-number-of-arrows-to-burst-balloons,MEDIUM,INTERVALS,https://leetcode.com/problems/minimum-number-of-arrows-to-burst-balloons/
174,Employee Free Time,employee-free-time,HARD,INTERVALS,https://leetcode.com/problems/employee-free-time/
175,My Calendar II,my-calendar-ii,MEDIUM,INTERVALS,https://leetcode.com/problems/my-calendar-ii/
176,Assign Cookies,assign-cookies,EASY,GREEDY,https://leetcode.com/problems/assign-cookies/
177,Valid Parenthesis String,valid-parenthesis-string,MEDIUM,GREEDY,https://leetcode.com/problems/valid-parenthesis-string/
178,Maximum Length of Pair Chain,maximum-length-of-pair-chain,MEDIUM,GREEDY,https://leetcode.com/problems/maximum-length-of-pair-chain/
179,Queue Reconstruction by Height,queue-reconstruction-by-height,MEDIUM,GREEDY,https://leetcode.com/problems/queue-reconstruction-by-height/
180,Boats to Save People,boats-to-save-people,MEDIUM,GREEDY,https://leetcode.com/problems/boats-to-save-people/
181,Reorganize String,reorganize-string,MEDIUM,GREEDY,https://leetcode.com/problems/reorganize-string/
182,Maximum Number of Events That Can Be Attended,maximum-number-of-events-that-can-be-attended,MEDIUM,GREEDY,https://leetcode.com/problems/maximum-number-of-events-that-can-be-attended/
183,Candy,candy,HARD,GREEDY,https://leetcode.com/problems/candy/
184,Top K Frequent Words,top-k-frequent-words,MEDIUM,HEAP,https://leetcode.com/problems/top-k-frequent-words/
185,Kth Smallest Element in a Sorted Matrix,kth-smallest-element-in-a-sorted-matrix,MEDIUM,HEAP,https://leetcode.com/problems/kth-smallest-element-in-a-sorted-matrix/
186,Find K Pairs with Smallest Sums,find-k-pairs-with-smallest-sums,MEDIUM,HEAP,https://leetcode.com/problems/find-k-pairs-with-smallest-sums/
187,IPO,ipo,HARD,HEAP,https://leetcode.com/problems/ipo/
188,Design Twitter,design-twitter,MEDIUM,HEAP,https://leetcode.com/problems/design-twitter/
189,Ugly Number II,ugly-number-ii,MEDIUM,HEAP,https://leetcode.com/problems/ugly-number-ii/
190,Find K-th Smallest Pair Distance,find-k-th-smallest-pair-distance,HARD,BINARY_SEARCH,https://leetcode.com/problems/find-k-th-smallest-pair-distance/
191,Split Array Largest Sum,split-array-largest-sum,HARD,BINARY_SEARCH,https://leetcode.com/problems/split-array-largest-sum/
192,Median of Two Sorted Arrays,median-of-two-sorted-arrays,HARD,BINARY_SEARCH,https://leetcode.com/problems/median-of-two-sorted-arrays/
193,Roman to Integer,roman-to-integer,EASY,STRING,https://leetcode.com/problems/roman-to-integer/
194,Integer to Roman,integer-to-roman,MEDIUM,STRING,https://leetcode.com/problems/integer-to-roman/
195,String to Integer (atoi),string-to-integer-atoi,MEDIUM,STRING,https://leetcode.com/problems/string-to-integer-atoi/
196,Longest Common Prefix,longest-common-prefix,EASY,STRING,https://leetcode.com/problems/longest-common-prefix/
197,Find All Anagrams in a String,find-all-anagrams-in-a-string,MEDIUM,STRING,https://leetcode.com/problems/find-all-anagrams-in-a-string/
198,Multiply Strings,multiply-strings,MEDIUM,STRING,https://leetcode.com/problems/multiply-strings/
199,Zigzag Conversion,zigzag-conversion,MEDIUM,STRING,https://leetcode.com/problems/zigzag-conversion/
200,Group Shifted Strings,group-shifted-strings,MEDIUM,STRING,https://leetcode.com/problems/group-shifted-strings/
201,3Sum Closest,3sum-closest,MEDIUM,TWO_POINTERS,https://leetcode.com/problems/3sum-closest/
202,4Sum,4sum,MEDIUM,TWO_POINTERS,https://leetcode.com/problems/4sum/
203,Continuous Subarray Sum,continuous-subarray-sum,MEDIUM,ARRAY,https://leetcode.com/problems/continuous-subarray-sum/
204,Subarray Sums Divisible by K,subarray-sums-divisible-by-k,MEDIUM,ARRAY,https://leetcode.com/problems/subarray-sums-divisible-by-k/
205,Furthest Building You Can Reach,furthest-building-you-can-reach,MEDIUM,HEAP,https://leetcode.com/problems/furthest-building-you-can-reach/
206,Find All Numbers Disappeared in an Array,find-all-numbers-disappeared-in-an-array,EASY,ARRAY,https://leetcode.com/problems/find-all-numbers-disappeared-in-an-array/
207,First Missing Positive,first-missing-positive,HARD,ARRAY,https://leetcode.com/problems/first-missing-positive/
208,Set Matrix Zeroes,set-matrix-zeroes,MEDIUM,ARRAY,https://leetcode.com/problems/set-matrix-zeroes/
209,Spiral Matrix,spiral-matrix,MEDIUM,ARRAY,https://leetcode.com/problems/spiral-matrix/
210,Rotate Image,rotate-image,MEDIUM,ARRAY,https://leetcode.com/problems/rotate-image/
211,Game of Life,game-of-life,MEDIUM,ARRAY,https://leetcode.com/problems/game-of-life/
212,Isomorphic Strings,isomorphic-strings,EASY,STRING,https://leetcode.com/problems/isomorphic-strings/
213,Word Pattern,word-pattern,EASY,STRING,https://leetcode.com/problems/word-pattern/
214,Reverse Words in a String,reverse-words-in-a-string,MEDIUM,STRING,https://leetcode.com/problems/reverse-words-in-a-string/
215,Find the Difference,find-the-difference,EASY,STRING,https://leetcode.com/problems/find-the-difference/
216,Evaluate Division,evaluate-division,MEDIUM,GRAPH,https://leetcode.com/problems/evaluate-division/
217,Minimum Add to Make Parentheses Valid,minimum-add-to-make-parentheses-valid,MEDIUM,STACK,https://leetcode.com/problems/minimum-add-to-make-parentheses-valid/
218,Middle of the Linked List,middle-of-the-linked-list,EASY,LINKED_LIST,https://leetcode.com/problems/middle-of-the-linked-list/
219,Remove Duplicates from Sorted List,remove-duplicates-from-sorted-list,EASY,LINKED_LIST,https://leetcode.com/problems/remove-duplicates-from-sorted-list/
220,Reverse Linked List II,reverse-linked-list-ii,MEDIUM,LINKED_LIST,https://leetcode.com/problems/reverse-linked-list-ii/
221,Swap Nodes in Pairs,swap-nodes-in-pairs,MEDIUM,LINKED_LIST,https://leetcode.com/problems/swap-nodes-in-pairs/
222,Sort List,sort-list,MEDIUM,LINKED_LIST,https://leetcode.com/problems/sort-list/
223,Rotate List,rotate-list,MEDIUM,LINKED_LIST,https://leetcode.com/problems/rotate-list/
224,Symmetric Tree,symmetric-tree,EASY,TREE,https://leetcode.com/problems/symmetric-tree/
225,Binary Tree Zigzag Level Order Traversal,binary-tree-zigzag-level-order-traversal,MEDIUM,TREE,https://leetcode.com/problems/binary-tree-zigzag-level-order-traversal/
226,Sum Root to Leaf Numbers,sum-root-to-leaf-numbers,MEDIUM,TREE,https://leetcode.com/problems/sum-root-to-leaf-numbers/
227,Count Complete Tree Nodes,count-complete-tree-nodes,EASY,TREE,https://leetcode.com/problems/count-complete-tree-nodes/
228,Serialize and Deserialize BST,serialize-and-deserialize-bst,MEDIUM,TREE,https://leetcode.com/problems/serialize-and-deserialize-bst/
229,Number of Provinces,number-of-provinces,MEDIUM,GRAPH,https://leetcode.com/problems/number-of-provinces/
230,Possible Bipartition,possible-bipartition,MEDIUM,GRAPH,https://leetcode.com/problems/possible-bipartition/
231,Path With Minimum Effort,path-with-minimum-effort,MEDIUM,GRAPH,https://leetcode.com/problems/path-with-minimum-effort/
232,As Far from Land as Possible,as-far-from-land-as-possible,MEDIUM,GRAPH,https://leetcode.com/problems/as-far-from-land-as-possible/
233,Number of Enclaves,number-of-enclaves,MEDIUM,GRAPH,https://leetcode.com/problems/number-of-enclaves/
